filename,issue_severity,line_number,test_id,total_lines_in_file,line_number_value
asterisk\build_tools\get_documentation.py,LOW,12,B408,172,0.069767442
asterisk\build_tools\get_documentation.py,MEDIUM,97,B318,172,0.563953488
asterisk\build_tools\post_process_documentation.py,LOW,14,B408,106,0.132075472
asterisk\build_tools\post_process_documentation.py,MEDIUM,92,B318,106,0.867924528
asterisk\contrib\ast-db-manage\env.py,LOW,18,B110,152,0.118421053
asterisk\contrib\scripts\spandspflow2pcap.py,LOW,107,B101,261,0.409961686
asterisk\contrib\scripts\spandspflow2pcap.py,LOW,217,B101,261,0.831417625
asterisk\contrib\scripts\spandspflow2pcap.py,LOW,221,B101,261,0.846743295
asterisk\contrib\scripts\spandspflow2pcap.py,LOW,225,B101,261,0.862068966
asterisk\contrib\scripts\spandspflow2pcap.py,LOW,231,B101,261,0.885057471
asterisk\rest-api-templates\asterisk_processor.py,LOW,94,B101,254,0.37007874
asterisk\rest-api-templates\asterisk_processor.py,LOW,107,B101,254,0.421259843
chromium\build\android\adb_logcat_printer.py,LOW,195,B101,213,0.915492958
chromium\build\android\buildbot\bb_device_steps.py,MEDIUM,514,B303,698,0.736389685
chromium\build\android\buildbot\bb_device_steps.py,LOW,514,B311,698,0.736389685
chromium\build\android\gyp\apk_obfuscate.py,LOW,119,B101,168,0.708333333
chromium\build\android\gyp\generate_v14_compatible_resources.py,LOW,27,B408,348,0.077586207
chromium\build\android\gyp\generate_v14_compatible_resources.py,MEDIUM,103,B318,348,0.295977011
chromium\build\android\gyp\generate_v14_compatible_resources.py,MEDIUM,180,B318,348,0.517241379
chromium\build\android\gyp\generate_v14_compatible_resources.py,MEDIUM,199,B318,348,0.57183908
chromium\build\android\gyp\generate_v14_compatible_resources.py,MEDIUM,234,B318,348,0.672413793
chromium\build\android\gyp\generate_v14_compatible_resources.py,MEDIUM,247,B318,348,0.709770115
chromium\build\android\gyp\jarjar_resources.py,LOW,13,B408,121,0.107438017
chromium\build\android\gyp\jarjar_resources.py,LOW,29,B101,121,0.239669421
chromium\build\android\gyp\jarjar_resources.py,LOW,35,B101,121,0.289256198
chromium\build\android\gyp\jarjar_resources.py,LOW,38,B101,121,0.314049587
chromium\build\android\gyp\jarjar_resources.py,MEDIUM,61,B318,121,0.504132231
chromium\build\android\gyp\lint.py,LOW,13,B408,159,0.081761006
chromium\build\android\gyp\lint.py,MEDIUM,53,B318,159,0.333333333
chromium\build\android\gyp\package_resources.py,LOW,75,B101,127,0.590551181
chromium\build\android\gyp\package_resources.py,LOW,84,B101,127,0.661417323
chromium\build\android\gyp\util\build_device.py,LOW,96,B101,104,0.923076923
chromium\build\android\gyp\util\md5_check.py,LOW,63,B101,86,0.73255814
chromium\build\android\gyp\util\md5_check.py,MEDIUM,69,B303,86,0.802325581
chromium\build\android\gyp\write_ordered_libraries.py,LOW,76,B101,108,0.703703704
chromium\build\android\host_heartbeat.py,LOW,27,B110,34,0.794117647
chromium\build\android\pylib\android_commands_unittest.py,LOW,186,B110,190,0.978947368
chromium\build\android\pylib\base\base_test_result.py,LOW,33,B101,188,0.175531915
chromium\build\android\pylib\base\base_test_result.py,LOW,34,B101,188,0.180851064
chromium\build\android\pylib\base\base_test_result.py,LOW,132,B101,188,0.70212766
chromium\build\android\pylib\base\base_test_result.py,LOW,150,B101,188,0.79787234
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,18,B404,425,0.042352941
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,125,B101,425,0.294117647
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,143,B101,425,0.336470588
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,158,B101,425,0.371764706
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,192,B101,425,0.451764706
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,215,B110,425,0.505882353
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,232,B603,425,0.545882353
chromium\build\android\pylib\chrome_test_server_spawner.py,LOW,317,B101,425,0.745882353
chromium\build\android\pylib\cmd_helper.py,LOW,13,B404,167,0.077844311
chromium\build\android\pylib\cmd_helper.py,MEDIUM,31,B604,167,0.185628743
chromium\build\android\pylib\cmd_helper.py,MEDIUM,99,B604,167,0.592814371
chromium\build\android\pylib\cmd_helper.py,LOW,132,B101,167,0.790419162
chromium\build\android\pylib\cmd_helper.py,MEDIUM,133,B604,167,0.796407186
chromium\build\android\pylib\constants.py,LOW,11,B404,207,0.053140097
chromium\build\android\pylib\constants.py,LOW,198,B607,207,0.956521739
chromium\build\android\pylib\constants.py,LOW,198,B603,207,0.956521739
chromium\build\android\pylib\content_settings.py,LOW,18,B101,84,0.214285714
chromium\build\android\pylib\content_settings.py,LOW,21,B101,84,0.25
chromium\build\android\pylib\content_settings.py,LOW,53,B101,84,0.630952381
chromium\build\android\pylib\device\adb_wrapper.py,LOW,308,B101,386,0.797927461
chromium\build\android\pylib\flag_changer.py,LOW,53,B101,163,0.325153374
chromium\build\android\pylib\flag_changer.py,LOW,65,B101,163,0.398773006
chromium\build\android\pylib\flag_changer.py,LOW,83,B101,163,0.509202454
chromium\build\android\pylib\flag_changer.py,LOW,108,B101,163,0.662576687
chromium\build\android\pylib\flag_changer.py,LOW,113,B101,163,0.693251534
chromium\build\android\pylib\forwarder.py,LOW,208,B101,347,0.599423631
chromium\build\android\pylib\forwarder.py,LOW,215,B101,347,0.619596542
chromium\build\android\pylib\gtest\setup.py,LOW,124,B101,356,0.348314607
chromium\build\android\pylib\gtest\setup.py,LOW,146,B101,356,0.41011236
chromium\build\android\pylib\host_driven\test_case.py,LOW,175,B101,197,0.888324873
chromium\build\android\pylib\host_driven\test_runner.py,LOW,82,B101,133,0.616541353
chromium\build\android\pylib\host_driven\test_server.py,LOW,19,B404,120,0.158333333
chromium\build\android\pylib\host_driven\test_server.py,LOW,101,B603,120,0.841666667
chromium\build\android\pylib\host_driven\test_server.py,MEDIUM,109,B310,120,0.908333333
chromium\build\android\pylib\instrumentation\test_jar.py,LOW,11,B403,235,0.046808511
chromium\build\android\pylib\instrumentation\test_jar.py,MEDIUM,64,B301,235,0.272340426
chromium\build\android\pylib\linker\test_runner.py,LOW,88,B101,103,0.854368932
chromium\build\android\pylib\monkey\test_runner.py,LOW,37,B311,95,0.389473684
chromium\build\android\pylib\perf\perf_control.py,LOW,26,B101,101,0.257425743
chromium\build\android\pylib\perf\setup.py,LOW,54,B101,97,0.556701031
chromium\build\android\pylib\perf\surface_stats_collector.py,LOW,51,B101,312,0.163461538
chromium\build\android\pylib\perf\surface_stats_collector.py,LOW,154,B101,312,0.493589744
chromium\build\android\pylib\perf\surface_stats_collector.py,LOW,299,B101,312,0.958333333
chromium\build\android\pylib\ports.py,LOW,154,B101,176,0.875
chromium\build\android\pylib\symbols\elf_symbolizer.py,LOW,13,B404,461,0.028199566
chromium\build\android\pylib\symbols\elf_symbolizer.py,LOW,108,B101,461,0.234273319
chromium\build\android\pylib\symbols\elf_symbolizer.py,LOW,142,B101,461,0.30802603
chromium\build\android\pylib\symbols\elf_symbolizer.py,LOW,180,B101,461,0.390455531
chromium\build\android\pylib\symbols\elf_symbolizer.py,LOW,312,B110,461,0.676789588
chromium\build\android\pylib\symbols\elf_symbolizer.py,LOW,390,B603,461,0.845986985
chromium\build\android\pylib\utils\emulator.py,LOW,14,B404,444,0.031531532
chromium\build\android\pylib\utils\emulator.py,LOW,364,B603,444,0.81981982
chromium\build\android\pylib\utils\flakiness_dashboard_results_uploader.py,MEDIUM,79,B318,179,0.441340782
chromium\build\android\pylib\utils\parallelizer.py,LOW,68,B101,195,0.348717949
chromium\build\android\pylib\utils\parallelizer.py,LOW,171,B101,195,0.876923077
chromium\build\android\pylib\utils\parallelizer.py,LOW,172,B101,195,0.882051282
chromium\build\android\pylib\utils\parallelizer.py,LOW,174,B101,195,0.892307692
chromium\build\android\pylib\utils\parallelizer.py,LOW,175,B101,195,0.897435897
chromium\build\android\pylib\utils\report_results.py,LOW,49,B101,108,0.453703704
chromium\build\android\pylib\utils\xvfb.py,LOW,9,B404,58,0.155172414
chromium\build\android\pylib\utils\xvfb.py,LOW,32,B607,58,0.551724138
chromium\build\android\pylib\utils\xvfb.py,LOW,32,B603,58,0.551724138
chromium\build\android\pylib\utils\xvfb.py,LOW,42,B607,58,0.724137931
chromium\build\android\pylib\utils\xvfb.py,LOW,42,B602,58,0.724137931
chromium\build\android\pylib\utils\xvfb.py,LOW,55,B110,58,0.948275862
chromium\build\env_dump.py,LOW,13,B404,56,0.232142857
chromium\build\env_dump.py,LOW,41,B603,56,0.732142857
chromium\build\find_isolated_tests.py,MEDIUM,28,B303,78,0.358974359
chromium\build\get_syzygy_binaries.py,LOW,19,B404,410,0.046341463
chromium\build\get_syzygy_binaries.py,HIGH,57,B602,410,0.13902439
chromium\build\get_syzygy_binaries.py,MEDIUM,94,B303,410,0.229268293
chromium\build\get_syzygy_binaries.py,MEDIUM,255,B310,410,0.62195122
chromium\build\gn_run_binary.py,LOW,12,B404,22,0.545454545
chromium\build\gn_run_binary.py,LOW,22,B603,22,1
chromium\build\ios\clean_env.py,LOW,30,B101,77,0.38961039
chromium\build\ios\clean_env.py,LOW,39,B101,77,0.506493506
chromium\build\ios\clean_env.py,LOW,69,B101,77,0.896103896
chromium\build\ios\clean_env.py,LOW,72,B606,77,0.935064935
chromium\build\landmines.py,LOW,23,B404,135,0.17037037
chromium\build\landmines.py,LOW,125,B603,135,0.925925926
chromium\build\mac\tweak_info_plist.py,LOW,28,B404,280,0.1
chromium\build\mac\tweak_info_plist.py,LOW,38,B603,280,0.135714286
chromium\build\mac\tweak_info_plist.py,LOW,48,B603,280,0.171428571
chromium\build\mac\tweak_info_plist.py,LOW,163,B101,280,0.582142857
chromium\build\mac\tweak_info_plist.py,LOW,273,B607,280,0.975
chromium\build\mac\tweak_info_plist.py,LOW,273,B603,280,0.975
chromium\build\protoc_java.py,LOW,22,B404,56,0.392857143
chromium\build\protoc_java.py,LOW,41,B603,56,0.732142857
chromium\build\toolchain\win\setup_toolchain.py,LOW,8,B404,108,0.074074074
chromium\build\util\lib\common\util.py,LOW,12,B404,151,0.079470199
chromium\build\util\lib\common\util.py,LOW,109,B607,151,0.721854305
chromium\build\util\lib\common\util.py,LOW,109,B603,151,0.721854305
chromium\build\util\lib\common\util.py,LOW,125,B603,151,0.82781457
chromium\build\win\reorder-imports.py,LOW,10,B404,57,0.175438596
chromium\build\win\reorder-imports.py,LOW,34,B603,57,0.596491228
chromium\chrome\browser\metrics\variations\generate_resources_map.py,MEDIUM,36,B303,183,0.196721311
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,7,B405,98,0.071428571
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,15,B101,98,0.153061224
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,MEDIUM,16,B314,98,0.163265306
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,18,B101,98,0.183673469
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,26,B101,98,0.265306122
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,53,B101,98,0.540816327
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,64,B101,98,0.653061224
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,68,B101,98,0.693877551
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,72,B101,98,0.734693878
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,75,B101,98,0.765306122
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,78,B101,98,0.795918367
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,79,B101,98,0.806122449
chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py,LOW,82,B101,98,0.836734694
chromium\chrome\browser\policy\test\asn1der.py,LOW,28,B101,69,0.405797101
chromium\chrome\browser\resources\chromeos\chromevox\tools\generate_manifest.py,HIGH,28,B701,59,0.474576271
chromium\chrome\browser\resources\chromeos\chromevox\tools\jscompilerwrapper.py,LOW,12,B404,72,0.166666667
chromium\chrome\browser\resources\chromeos\chromevox\tools\jscompilerwrapper.py,LOW,40,B603,72,0.555555556
chromium\chrome\browser\web_dev_style\css_checker.py,LOW,344,B101,372,0.924731183
chromium\chrome\browser\web_dev_style\js_checker.py,LOW,29,B101,255,0.11372549
chromium\chrome\common\extensions\docs\examples\apps\hello-python\oauth2\__init__.py,LOW,96,B311,758,0.126649077
