Files Scanned,Vulnerable Files,Issues Found,Lines in Repo
121,5,12,6545
2246,440,1337,351615
22,2,3,2604
1994,623,4099,656545
4,1,1,647
2680,256,916,290455
5,2,6,2347
5,1,12,555
6,3,7,888
4,2,5,1146
201,52,268,40987
8,1,1,307
10,6,27,5791
51,8,55,10739
5,3,42,336
39,12,21,3890
816,23,72,118254
96,14,48,9837
66,5,17,12154
117,54,236,27549
4,4,49,626
1,1,3,357
448,200,948,114529
42,12,35,7032
43,9,15,5036
1,1,2,32
24,11,26,2032
2,1,6,171
318,13,18,34408
163,72,420,24049
2,1,1,43
1,1,2,21
660,197,679,172884
7,1,4,1570
290,105,488,136764
44,18,126,5701
224,105,411,32457
10,1,10,1480
3,1,6,1855
84,46,189,42420
46,19,49,5443
353,41,126,40695
