"filename","issue_severity","line_number","test_id","total_lines_in_file"
"asterisk\build_tools\get_documentation.py","LOW",12,"B408",172
"asterisk\build_tools\get_documentation.py","MEDIUM",97,"B318",172
"asterisk\build_tools\post_process_documentation.py","LOW",14,"B408",106
"asterisk\build_tools\post_process_documentation.py","MEDIUM",92,"B318",106
"asterisk\contrib\ast-db-manage\env.py","LOW",18,"B110",152
"asterisk\contrib\scripts\spandspflow2pcap.py","LOW",107,"B101",261
"asterisk\contrib\scripts\spandspflow2pcap.py","LOW",217,"B101",261
"asterisk\contrib\scripts\spandspflow2pcap.py","LOW",221,"B101",261
"asterisk\contrib\scripts\spandspflow2pcap.py","LOW",225,"B101",261
"asterisk\contrib\scripts\spandspflow2pcap.py","LOW",231,"B101",261
"asterisk\rest-api-templates\asterisk_processor.py","LOW",94,"B101",254
"asterisk\rest-api-templates\asterisk_processor.py","LOW",107,"B101",254
"chromium\build\android\adb_logcat_printer.py","LOW",195,"B101",213
"chromium\build\android\buildbot\bb_device_steps.py","MEDIUM",514,"B303",698
"chromium\build\android\buildbot\bb_device_steps.py","LOW",514,"B311",698
"chromium\build\android\gyp\apk_obfuscate.py","LOW",119,"B101",168
"chromium\build\android\gyp\generate_v14_compatible_resources.py","LOW",27,"B408",348
"chromium\build\android\gyp\generate_v14_compatible_resources.py","MEDIUM",103,"B318",348
"chromium\build\android\gyp\generate_v14_compatible_resources.py","MEDIUM",180,"B318",348
"chromium\build\android\gyp\generate_v14_compatible_resources.py","MEDIUM",199,"B318",348
"chromium\build\android\gyp\generate_v14_compatible_resources.py","MEDIUM",234,"B318",348
"chromium\build\android\gyp\generate_v14_compatible_resources.py","MEDIUM",247,"B318",348
"chromium\build\android\gyp\jarjar_resources.py","LOW",13,"B408",121
"chromium\build\android\gyp\jarjar_resources.py","LOW",29,"B101",121
"chromium\build\android\gyp\jarjar_resources.py","LOW",35,"B101",121
"chromium\build\android\gyp\jarjar_resources.py","LOW",38,"B101",121
"chromium\build\android\gyp\jarjar_resources.py","MEDIUM",61,"B318",121
"chromium\build\android\gyp\lint.py","LOW",13,"B408",159
"chromium\build\android\gyp\lint.py","MEDIUM",53,"B318",159
"chromium\build\android\gyp\package_resources.py","LOW",75,"B101",127
"chromium\build\android\gyp\package_resources.py","LOW",84,"B101",127
"chromium\build\android\gyp\util\build_device.py","LOW",96,"B101",104
"chromium\build\android\gyp\util\md5_check.py","LOW",63,"B101",86
"chromium\build\android\gyp\util\md5_check.py","MEDIUM",69,"B303",86
"chromium\build\android\gyp\write_ordered_libraries.py","LOW",76,"B101",108
"chromium\build\android\host_heartbeat.py","LOW",27,"B110",34
"chromium\build\android\pylib\android_commands_unittest.py","LOW",186,"B110",190
"chromium\build\android\pylib\base\base_test_result.py","LOW",33,"B101",188
"chromium\build\android\pylib\base\base_test_result.py","LOW",34,"B101",188
"chromium\build\android\pylib\base\base_test_result.py","LOW",132,"B101",188
"chromium\build\android\pylib\base\base_test_result.py","LOW",150,"B101",188
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",18,"B404",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",125,"B101",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",143,"B101",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",158,"B101",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",192,"B101",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",215,"B110",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",232,"B603",425
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW",317,"B101",425
"chromium\build\android\pylib\cmd_helper.py","LOW",13,"B404",167
"chromium\build\android\pylib\cmd_helper.py","MEDIUM",31,"B604",167
"chromium\build\android\pylib\cmd_helper.py","MEDIUM",99,"B604",167
"chromium\build\android\pylib\cmd_helper.py","LOW",132,"B101",167
"chromium\build\android\pylib\cmd_helper.py","MEDIUM",133,"B604",167
"chromium\build\android\pylib\constants.py","LOW",11,"B404",207
"chromium\build\android\pylib\constants.py","LOW",198,"B607",207
"chromium\build\android\pylib\constants.py","LOW",198,"B603",207
"chromium\build\android\pylib\content_settings.py","LOW",18,"B101",84
