"filename","issue_severities","line_numbers","test_ids","total_lines"
"asterisk\build_tools\get_documentation.py","LOW,MEDIUM","12,97","B408,B318","172"
"asterisk\build_tools\post_process_documentation.py","LOW,MEDIUM","14,92","B408,B318","106"
"asterisk\contrib\ast-db-manage\env.py","LOW","18","B110","152"
"asterisk\contrib\scripts\spandspflow2pcap.py","LOW,LOW,LOW,LOW,LOW","107,217,221,225,231","B101,B101,B101,B101,B101","261"
"asterisk\rest-api-templates\asterisk_processor.py","LOW,LOW","94,107","B101,B101","254"
"chromium\build\android\adb_logcat_printer.py","LOW","195","B101","213"
"chromium\build\android\buildbot\bb_device_steps.py","MEDIUM,LOW","514,514","B303,B311","698"
"chromium\build\android\gyp\apk_obfuscate.py","LOW","119","B101","168"
"chromium\build\android\gyp\generate_v14_compatible_resources.py","LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM","27,103,180,199,234,247","B408,B318,B318,B318,B318,B318","348"
"chromium\build\android\gyp\jarjar_resources.py","LOW,LOW,LOW,LOW,MEDIUM","13,29,35,38,61","B408,B101,B101,B101,B318","121"
"chromium\build\android\gyp\lint.py","LOW,MEDIUM","13,53","B408,B318","159"
"chromium\build\android\gyp\package_resources.py","LOW,LOW","75,84","B101,B101","127"
"chromium\build\android\gyp\util\build_device.py","LOW","96","B101","104"
"chromium\build\android\gyp\util\md5_check.py","LOW,MEDIUM","63,69","B101,B303","86"
"chromium\build\android\gyp\write_ordered_libraries.py","LOW","76","B101","108"
"chromium\build\android\host_heartbeat.py","LOW","27","B110","34"
"chromium\build\android\pylib\android_commands_unittest.py","LOW","186","B110","190"
"chromium\build\android\pylib\base\base_test_result.py","LOW,LOW,LOW,LOW","33,34,132,150","B101,B101,B101,B101","188"
"chromium\build\android\pylib\chrome_test_server_spawner.py","LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW","18,125,143,158,192,215,232,317","B404,B101,B101,B101,B101,B110,B603,B101","425"
"chromium\build\android\pylib\cmd_helper.py","LOW,MEDIUM,MEDIUM,LOW,MEDIUM","13,31,99,132,133","B404,B604,B604,B101,B604","167"
"chromium\build\android\pylib\constants.py","LOW,LOW,LOW","11,198,198","B404,B607,B603","207"
"chromium\build\android\pylib\content_settings.py","LOW,LOW,LOW","18,21,53","B101,B101,B101","84"
"chromium\build\android\pylib\device\adb_wrapper.py","LOW","308","B101","386"
"chromium\build\android\pylib\flag_changer.py","LOW,LOW,LOW,LOW,LOW","53,65,83,108,113","B101,B101,B101,B101,B101","163"
"chromium\build\android\pylib\forwarder.py","LOW,LOW","208,215","B101,B101","347"
"chromium\build\android\pylib\gtest\setup.py","LOW,LOW","124,146","B101,B101","356"
"chromium\build\android\pylib\host_driven\test_case.py","LOW","175","B101","197"
"chromium\build\android\pylib\host_driven\test_runner.py","LOW","82","B101","133"
"chromium\build\android\pylib\host_driven\test_server.py","LOW,LOW,MEDIUM","19,101,109","B404,B603,B310","120"
"chromium\build\android\pylib\instrumentation\test_jar.py","LOW,MEDIUM","11,64","B403,B301","235"
"chromium\build\android\pylib\linker\test_runner.py","LOW","88","B101","103"
"chromium\build\android\pylib\monkey\test_runner.py","LOW","37","B311","95"
"chromium\build\android\pylib\perf\perf_control.py","LOW","26","B101","101"
"chromium\build\android\pylib\perf\setup.py","LOW","54","B101","97"
"chromium\build\android\pylib\perf\surface_stats_collector.py","LOW,LOW,LOW","51,154,299","B101,B101,B101","312"
"chromium\build\android\pylib\ports.py","LOW","154","B101","176"
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW,LOW,LOW,LOW,LOW,LOW","13,108,142,180,312,390","B404,B101,B101,B101,B110,B603","461"
"chromium\build\android\pylib\utils\emulator.py","LOW,LOW","14,364","B404,B603","444"
"chromium\build\android\pylib\utils\flakiness_dashboard_results_uploader.py","MEDIUM","79","B318","179"
"chromium\build\android\pylib\utils\parallelizer.py","LOW,LOW,LOW,LOW,LOW","68,171,172,174,175","B101,B101,B101,B101,B101","195"
"chromium\build\android\pylib\utils\report_results.py","LOW","49","B101","108"
"chromium\build\android\pylib\utils\xvfb.py","LOW,LOW,LOW,LOW,LOW,LOW","9,32,32,42,42,55","B404,B607,B603,B607,B602,B110","58"
"chromium\build\env_dump.py","LOW,LOW","13,41","B404,B603","56"
"chromium\build\find_isolated_tests.py","MEDIUM","28","B303","78"
"chromium\build\get_syzygy_binaries.py","LOW,HIGH,MEDIUM,MEDIUM","19,57,94,255","B404,B602,B303,B310","410"
"chromium\build\gn_run_binary.py","LOW,LOW","12,22","B404,B603","22"
"chromium\build\ios\clean_env.py","LOW,LOW,LOW,LOW","30,39,69,72","B101,B101,B101,B606","77"
"chromium\build\landmines.py","LOW,LOW","23,125","B404,B603","135"
"chromium\build\mac\tweak_info_plist.py","LOW,LOW,LOW,LOW,LOW,LOW","28,38,48,163,273,273","B404,B603,B603,B101,B607,B603","280"
"chromium\build\protoc_java.py","LOW,LOW","22,41","B404,B603","56"
"chromium\build\toolchain\win\setup_toolchain.py","LOW","8","B404","108"
"chromium\build\util\lib\common\util.py","LOW,LOW,LOW,LOW","12,109,109,125","B404,B607,B603,B603","151"
"chromium\build\win\reorder-imports.py","LOW,LOW","10,34","B404,B603","57"
"chromium\chrome\browser\metrics\variations\generate_resources_map.py","MEDIUM","36","B303","183"
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW","7,15,16,18,26,53,64,68,72,75,78,79,82","B405,B101,B314,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101","98"
"chromium\chrome\browser\policy\test\asn1der.py","LOW","28","B101","69"
"chromium\chrome\browser\resources\chromeos\chromevox\tools\generate_manifest.py","HIGH","28","B701","59"
"chromium\chrome\browser\resources\chromeos\chromevox\tools\jscompilerwrapper.py","LOW,LOW","12,40","B404,B603","72"
"chromium\chrome\browser\web_dev_style\css_checker.py","LOW","344","B101","372"
"chromium\chrome\browser\web_dev_style\js_checker.py","LOW","29","B101","255"
"chromium\chrome\common\extensions\docs\examples\apps\hello-python\oauth2\__init__.py","LOW,LOW,LOW","96,101,414","B311,B311,B311","758"
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW","55,65,68,104,110,120,123,164,241","B101,B101,B101,B101,B101,B101,B101,B101,B101","824"
"chromium\chrome\common\extensions\docs\server2\api_schema_graph.py","LOW,LOW,LOW","15,63,82","B101,B101,B101","174"
"chromium\chrome\common\extensions\docs\server2\app_yaml_helper.py","LOW","98","B101","125"
"chromium\chrome\common\extensions\docs\server2\appengine_url_fetcher.py","LOW,LOW","29,48","B101,B101","51"
"chromium\chrome\common\extensions\docs\server2\appengine_wrappers.py","LOW","244","B101","270"
"chromium\chrome\common\extensions\docs\server2\availability_finder.py","LOW,LOW,LOW,LOW","90,91,177,324","B101,B101,B101,B101","386"
"chromium\chrome\common\extensions\docs\server2\branch_utility.py","LOW,LOW,LOW","23,24,27","B101,B101,B101","236"
"chromium\chrome\common\extensions\docs\server2\build_server.py","LOW","43","B110","89"
"chromium\chrome\common\extensions\docs\server2\caching_file_system.py","LOW,LOW","69,81","B101,B101","141"
"chromium\chrome\common\extensions\docs\server2\chained_compiled_file_system.py","LOW","44","B101","93"
"chromium\chrome\common\extensions\docs\server2\compiled_file_system.py","LOW,LOW,LOW","76,77,182","B101,B101,B101","256"
"chromium\chrome\common\extensions\docs\server2\content_provider.py","LOW","83","B101","192"
"chromium\chrome\common\extensions\docs\server2\content_providers.py","LOW","63","B110","181"
"chromium\chrome\common\extensions\docs\server2\cron_servlet.py","LOW","172","B101","294"
"chromium\chrome\common\extensions\docs\server2\data_source_registry.py","LOW","30","B101","42"
"chromium\chrome\common\extensions\docs\server2\datastore_models.py","LOW,MEDIUM","5,35","B403,B301","35"
"chromium\chrome\common\extensions\docs\server2\docs_server_utils.py","MEDIUM","30","B303","61"
"chromium\chrome\common\extensions\docs\server2\file_system.py","LOW","45","B101","195"
"chromium\chrome\common\extensions\docs\server2\host_file_system_provider.py","LOW,LOW","75,76","B101,B101","112"
"chromium\chrome\common\extensions\docs\server2\local_renderer.py","LOW","18","B101","20"
"chromium\chrome\common\extensions\docs\server2\new_github_file_system.py","LOW,LOW","224,281","B101,B101","296"
"chromium\chrome\common\extensions\docs\server2\new_github_file_system_test.py","LOW,LOW,MEDIUM,LOW","56,66,89,89","B101,B101,B303,B311","280"
"chromium\chrome\common\extensions\docs\server2\patched_file_system.py","LOW,LOW,LOW,LOW,LOW","71,79,105,106,123","B101,B101,B101,B101,B101","166"
"chromium\chrome\common\extensions\docs\server2\path_canonicalizer.py","LOW,LOW","55,77","B101,B101","121"
"chromium\chrome\common\extensions\docs\server2\path_util.py","LOW,LOW,LOW,LOW","29,33,68,72","B101,B101,B101,B101","95"
"chromium\chrome\common\extensions\docs\server2\platform_util.py","LOW,LOW","32,37","B101,B101","38"
"chromium\chrome\common\extensions\docs\server2\render_servlet.py","LOW,MEDIUM,MEDIUM","86,131,146","B101,B303,B303","151"
"chromium\chrome\common\extensions\docs\server2\server_instance.py","LOW","64","B101","150"
"chromium\chrome\common\extensions\docs\server2\subversion_file_system.py","LOW,MEDIUM,MEDIUM","7,24,103","B408,B318,B318","214"
"chromium\chrome\common\extensions\docs\server2\template_renderer.py","LOW","30","B101","52"
"chromium\chrome\common\extensions\docs\server2\test_file_system.py","LOW,LOW","38,106","B101,B101","147"
"chromium\chrome\common\extensions\docs\server2\test_object_store.py","LOW","19","B101","65"
"chromium\chrome\common\extensions\docs\server2\timer.py","LOW,LOW,LOW,LOW","19,27,28,39","B101,B101,B101,B101","58"
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM","37,118,132,189,196,208,285","B406,B101,B101,B101,B101,B101,B317","432"
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW,LOW,LOW,LOW,LOW,LOW,LOW","74,89,93,97,101,105,111","B101,B101,B101,B101,B101,B101,B101","344"
"chromium\chrome\test\chromedriver\server\server.py","LOW,LOW,MEDIUM,MEDIUM","8,32,60,71","B404,B603,B310,B310","75"
"chromium\chrome\test\chromedriver\test\webserver.py","LOW","85","B504","225"
"chromium\chrome\test\ispy\server\debug_view_handler.py","HIGH","16","B701","45"
"chromium\chrome\test\ispy\server\main_view_handler.py","HIGH","21","B701","121"
"chromium\chrome\test\mini_installer\file_verifier.py","LOW","29","B101","31"
"chromium\chrome\test\mini_installer\process_verifier.py","LOW","31","B101","33"
"chromium\chrome\test\mini_installer\registry_verifier.py","LOW,LOW,LOW,LOW","70,74,90,98","B101,B101,B101,B101","101"
"chromium\chrome\test\mini_installer\test_installer.py","LOW,HIGH,LOW,HIGH,LOW","15,131,174,256,277","B404,B602,B101,B602,B101","294"
"chromium\chrome\test\mini_installer\uninstall_chrome.py","LOW,HIGH","13,58","B404,B602","68"
"chromium\chrome\test\mini_installer\variable_expander.py","MEDIUM","52","B303","148"
"chromium\chrome\test\mini_installer\verifier.py","MEDIUM","52","B307","52"
"chromium\chrome\test\nacl_test_injection\buildbot_nacl_integration.py","LOW,LOW","7,73","B404,B603","77"
"chromium\chrome\tools\build\win\syzygy_instrument.py","LOW,LOW","13,32","B404,B603","146"
"chromium\chrome\tools\build\win\syzygy_reorder.py","LOW,LOW","11,29","B404,B603","111"
"chromium\chrome\tools\webforms_aggregator_unittests.py","LOW,LOW,LOW","8,246,252","B404,B603,B603","298"
"chromium\components\policy\resources\PRESUBMIT.py","LOW,MEDIUM,MEDIUM","10,18,82","B408,B307,B318","126"
"chromium\components\policy\tools\make_policy_zip.py","LOW","40","B101","83"
"chromium\components\test\data\password_manager\run_tests.py","LOW,LOW,LOW,HIGH,LOW","58,58,61,71,96","B605,B607,B110,B605,B110","100"
"chromium\content\browser\tracing\generate_trace_viewer_grd.py","LOW,MEDIUM","15,71","B408,B318","80"
"chromium\media\tools\constrained_network_server\cns.py","MEDIUM,LOW","263,349","B310,B110","456"
"chromium\media\tools\constrained_network_server\cns_test.py","LOW,LOW,MEDIUM,MEDIUM","9,173,204,221","B404,B603,B310,B310","265"
"chromium\media\tools\constrained_network_server\traffic_control.py","LOW,LOW","14,350","B404,B603","354"
"chromium\media\tools\layout_tests\layouttest_analyzer_helpers_unittest.py","LOW","9","B403","212"
"chromium\media\tools\layout_tests\test_expectations.py","MEDIUM","63","B310","107"
"chromium\mojo\public\tools\bindings\generators\mojom_java_generator.py","LOW,LOW,LOW,LOW","122,208,210,334","B101,B101,B101,B110","363"
"chromium\mojo\public\tools\bindings\generators\mojom_js_generator.py","LOW","36","B101","192"
"chromium\mojo\public\tools\bindings\pylib\mojom\generate\pack.py","LOW","148","B101","150"
"chromium\mojo\public\tools\bindings\pylib\mojom\generate\template_expander.py","LOW,HIGH","22,40","B101,B701","59"
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW","41,44,65,72,88,100,122,125,140,155,175,194,195,211,212,213,239,240,255,256,257,278,291,292,293,316,317,332,333,334,337","B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101","354"
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\lexer.py","LOW","18","B101","253"
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\parser.py","LOW,MEDIUM,MEDIUM","20,99,154","B101,B307,B307","380"
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW","13,58,65,69,74,87,94,106,111,120,131","B101,B101,B101,B101,B101,B101,B101,B101,B101,B101,B101","150"
"chromium\mojo\public\tools\bindings\pylib\mojom_tests\parse\ast_unittest.py","LOW","19","B101","138"
"chromium\mojo\public\tools\bindings\pylib\mojom_tests\parse\lexer_unittest.py","LOW,LOW","19,180","B101,B101","185"
"chromium\mojo\public\tools\bindings\pylib\mojom_tests\parse\parser_unittest.py","LOW","19","B101","979"
"chromium\mojo\spy\ui\ui_unittest.py","LOW","14","B101","15"
"chromium\native_client_sdk\src\build_tools\build_updater.py","LOW","65","B101","192"
"chromium\native_client_sdk\src\build_tools\build_version.py","MEDIUM,MEDIUM","44,54","B102,B102","73"
"chromium\native_client_sdk\src\build_tools\buildbot_common.py","LOW,LOW,LOW,HIGH,MEDIUM","10,90,91,124,205","B404,B607,B602,B602,B604","209"
"chromium\native_client_sdk\src\build_tools\buildbot_run.py","LOW,LOW,LOW,LOW,LOW","18,59,59,73,73","B404,B607,B603,B607,B603","134"
"chromium\native_client_sdk\src\build_tools\dsc2gyp.py","MEDIUM,LOW","238,373","B307,B101","378"
"chromium\native_client_sdk\src\build_tools\generate_index.py","LOW","32","B101","33"
"chromium\native_client_sdk\src\build_tools\manifest_util.py","MEDIUM,MEDIUM,LOW","83,164,227","B303,B310,B101","603"
"chromium\native_client_sdk\src\build_tools\nacl-mono-buildbot.py","MEDIUM,LOW","127,176","B303,B101","193"
"chromium\native_client_sdk\src\build_tools\nacl-mono-builder.py","LOW,LOW,LOW","40,56,77","B101,B101,B101","143"
"chromium\native_client_sdk\src\build_tools\sdk_tools\download.py","MEDIUM","69","B303","84"
"chromium\native_client_sdk\src\build_tools\sdk_tools\sdk_update.py","LOW,LOW,LOW,LOW","17,56,120,122","B404,B603,B603,B603","129"
"chromium\native_client_sdk\src\build_tools\sdk_tools\sdk_update_common.py","LOW,HIGH","11,60","B404,B602","105"
"chromium\native_client_sdk\src\build_tools\test_sdk.py","LOW,LOW","13,156","B404,B603","238"
"chromium\native_client_sdk\src\build_tools\tests\parse_dsc_test.py","LOW","10","B404","87"
"chromium\native_client_sdk\src\build_tools\tests\sdktools_test.py","LOW,LOW,LOW","8,96,130","B404,B603,B603","243"
